ID,gender,age,agecat,ed,edcat,jobcat,empcat,retire,income,inccat,debtinc,jobsat,marital,homeown,card,default
90,Female,68,65+,14,High school degree,Service,More than 15,Yes,9,Under $25,16,Somewhat dissatisfied,Unmarried,Rent,Discover,Yes
91,Female,45,35-49,10,Did not complete high school,Managerial and Professional,2 to 5,No,41,$25 - $49,3.7,Somewhat satisfied,Married,Own,Visa,No
92,Female,20,18-24,13,High school degree,"Precision Production, Craft, Repair",Less than 2,No,21,Under $25,13,Highly dissatisfied,Married,Rent,Visa,No
93,Female,56,50-64,17,College degree,Sales and Office,6 to 10,No,104,$75 - $124,0.9,Somewhat dissatisfied,Married,Rent,Mastercard,No
94,Male,55,50-64,10,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,149,$125+,5.1,Somewhat satisfied,Married,Own,Mastercard,No
95,Female,75,65+,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,20,Under $25,10.8,Somewhat dissatisfied,Married,Rent,Mastercard,No
96,Male,46,35-49,13,High school degree,"Operation, Fabrication, General Labor",11 to 15,No,213,$125+,3.5,Highly satisfied,Married,Own,Mastercard,No
97,Female,64,50-64,11,Did not complete high school,Sales and Office,2 to 5,No,19,Under $25,3.9,Neutral,Unmarried,Own,Mastercard,No
98,Male,35,35-49,15,Some college,Managerial and Professional,2 to 5,No,65,$50 - $74,3.7,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
99,Female,38,35-49,14,High school degree,Sales and Office,2 to 5,No,45,$25 - $49,3.2,Neutral,Married,Own,American Express,No
100,Male,45,35-49,13,High school degree,"Operation, Fabrication, General Labor",11 to 15,No,59,$50 - $74,4.6,Somewhat dissatisfied,Married,Own,Visa,No
101,Female,64,50-64,10,Did not complete high school,Service,11 to 15,No,35,$25 - $49,6.1,Neutral,Unmarried,Own,Discover,No
102,Female,59,50-64,17,College degree,Managerial and Professional,11 to 15,No,88,$75 - $124,3.3,Neutral,Married,Rent,American Express,No
103,Male,79,65+,17,College degree,Sales and Office,11 to 15,Yes,13,Under $25,3.2,Neutral,Married,Rent,Mastercard,No
104,Male,44,35-49,18,College degree,Managerial and Professional,6 to 10,No,78,$75 - $124,1.7,Somewhat dissatisfied,Unmarried,Own,American Express,No
105,Female,51,50-64,17,College degree,Sales and Office,6 to 10,No,38,$25 - $49,7,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
106,Female,36,35-49,16,Some college,Managerial and Professional,2 to 5,No,45,$25 - $49,16.8,Somewhat satisfied,Married,Rent,Discover,Yes
107,Male,18,18-24,13,High school degree,Sales and Office,Less than 2,No,19,Under $25,6.3,Highly dissatisfied,Unmarried,Rent,Visa,Yes
108,Female,40,35-49,22,Post-undergraduate degree,Service,6 to 10,No,31,$25 - $49,10.6,Somewhat satisfied,Married,Own,Visa,No
109,Female,78,65+,15,Some college,"Operation, Fabrication, General Labor",More than 15,Yes,20,Under $25,12.2,Neutral,Unmarried,Rent,Visa,No
110,Female,40,35-49,12,High school degree,Managerial and Professional,2 to 5,No,36,$25 - $49,11.3,Somewhat dissatisfied,Unmarried,Rent,American Express,No
111,Male,37,35-49,9,Did not complete high school,Sales and Office,2 to 5,No,16,Under $25,10.7,Somewhat dissatisfied,Unmarried,Rent,American Express,No
112,Male,25,25-34,16,Some college,Sales and Office,Less than 2,No,20,Under $25,19.7,Highly dissatisfied,Unmarried,Own,American Express,Yes
113,Female,72,65+,15,Some college,Sales and Office,More than 15,No,69,$50 - $74,6.6,Neutral,Unmarried,Own,Mastercard,No
114,Male,74,65+,10,Did not complete high school,Managerial and Professional,More than 15,No,60,$50 - $74,8.5,Neutral,Married,Own,Other,Yes
115,Male,62,50-64,8,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,115,$75 - $124,5.3,Highly dissatisfied,Married,Own,Visa,No
116,Female,77,65+,15,Some college,Service,More than 15,Yes,15,Under $25,2.5,Highly satisfied,Married,Own,Mastercard,No
117,Female,28,25-34,14,High school degree,"Operation, Fabrication, General Labor",2 to 5,No,33,$25 - $49,8.8,Somewhat satisfied,Married,Own,Mastercard,No
118,Female,42,35-49,15,Some college,"Precision Production, Craft, Repair",More than 15,No,67,$50 - $74,9.4,Highly satisfied,Married,Own,Discover,No
119,Female,49,35-49,15,Some college,"Precision Production, Craft, Repair",More than 15,No,118,$75 - $124,8.1,Somewhat satisfied,Unmarried,Rent,Visa,No
120,Female,66,65+,14,High school degree,"Operation, Fabrication, General Labor",More than 15,Yes,9,Under $25,15.6,Somewhat dissatisfied,Unmarried,Own,Visa,No
121,Male,34,25-34,20,Post-undergraduate degree,Agricultural and Natural Resources,6 to 10,No,36,$25 - $49,18.4,Neutral,Unmarried,Rent,Discover,No
122,Male,35,35-49,15,Some college,"Operation, Fabrication, General Labor",2 to 5,No,81,$75 - $124,11.1,Highly dissatisfied,Unmarried,Own,American Express,No
123,Female,32,25-34,11,Did not complete high school,"Operation, Fabrication, General Labor",6 to 10,No,35,$25 - $49,2.8,Highly satisfied,Unmarried,Own,Visa,No
124,Male,44,35-49,9,Did not complete high school,Sales and Office,2 to 5,No,33,$25 - $49,12,Somewhat satisfied,Married,Own,Visa,No
125,Male,71,65+,14,High school degree,"Operation, Fabrication, General Labor",More than 15,No,179,$125+,24.6,Highly satisfied,Unmarried,Own,Discover,Yes
126,Female,70,65+,19,College degree,Sales and Office,2 to 5,No,64,$50 - $74,9.4,Neutral,Married,Own,Discover,No
127,Female,28,25-34,18,College degree,"Operation, Fabrication, General Labor",2 to 5,No,47,$25 - $49,25,Neutral,Married,Own,Visa,Yes
128,Male,43,35-49,16,Some college,Sales and Office,2 to 5,No,39,$25 - $49,10.2,Somewhat dissatisfied,Unmarried,Own,Visa,Yes
129,Female,70,65+,13,High school degree,Service,More than 15,Yes,10,Under $25,0.6,Highly satisfied,Unmarried,Rent,Other,No
130,Female,65,65+,11,Did not complete high school,Managerial and Professional,11 to 15,No,116,$75 - $124,16.8,Neutral,Unmarried,Rent,Mastercard,No
131,Female,76,65+,16,Some college,Sales and Office,6 to 10,Yes,20,Under $25,4.9,Somewhat satisfied,Unmarried,Rent,Discover,No
132,Female,67,65+,14,High school degree,"Operation, Fabrication, General Labor",More than 15,No,97,$75 - $124,6.7,Highly satisfied,Unmarried,Rent,Discover,No
133,Female,57,50-64,9,Did not complete high school,Service,More than 15,No,149,$125+,2.5,Highly satisfied,Unmarried,Own,Discover,No
134,Male,66,65+,18,College degree,Managerial and Professional,More than 15,No,65,$50 - $74,31.2,Highly satisfied,Married,Own,American Express,No
135,Female,67,65+,15,Some college,Service,More than 15,Yes,10,Under $25,11.4,Highly satisfied,Married,Own,Visa,No
136,Male,18,18-24,13,High school degree,Sales and Office,Less than 2,No,19,Under $25,15.9,Somewhat dissatisfied,Married,Rent,Mastercard,Yes
137,Female,58,50-64,13,High school degree,Managerial and Professional,6 to 10,No,30,$25 - $49,11.3,Somewhat satisfied,Unmarried,Own,Visa,No
138,Male,64,50-64,22,Post-undergraduate degree,Sales and Office,6 to 10,Yes,57,$50 - $74,11.5,Somewhat dissatisfied,Unmarried,Rent,Discover,No
139,Female,42,35-49,13,High school degree,Service,More than 15,No,124,$75 - $124,6.7,Somewhat satisfied,Married,Own,Mastercard,No
140,Female,59,50-64,10,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,67,$50 - $74,12.5,Highly satisfied,Unmarried,Rent,Other,No
141,Female,62,50-64,18,College degree,"Precision Production, Craft, Repair",More than 15,No,207,$125+,6.5,Highly satisfied,Married,Own,Visa,No
142,Female,38,35-49,21,Post-undergraduate degree,Sales and Office,Less than 2,No,40,$25 - $49,4.8,Neutral,Married,Own,Discover,Yes
143,Male,37,35-49,19,College degree,"Operation, Fabrication, General Labor",2 to 5,No,67,$50 - $74,6,Neutral,Unmarried,Own,Visa,No
144,Female,32,25-34,13,High school degree,"Operation, Fabrication, General Labor",6 to 10,No,40,$25 - $49,10.1,Somewhat satisfied,Married,Rent,Visa,No
145,Male,40,35-49,19,College degree,"Operation, Fabrication, General Labor",6 to 10,No,93,$75 - $124,23.2,Neutral,Married,Own,Mastercard,Yes
146,Female,27,25-34,12,High school degree,Sales and Office,2 to 5,No,19,Under $25,4.8,Highly dissatisfied,Unmarried,Rent,Mastercard,No
147,Female,55,50-64,16,Some college,Sales and Office,6 to 10,No,55,$50 - $74,23.7,Somewhat satisfied,Unmarried,Rent,Discover,No
148,Male,26,25-34,13,High school degree,Sales and Office,Less than 2,No,25,$25 - $49,4.6,Highly satisfied,Unmarried,Own,Mastercard,No
149,Male,70,65+,9,Did not complete high school,Managerial and Professional,More than 15,No,63,$50 - $74,11.2,Somewhat satisfied,Married,Own,American Express,No
150,Male,43,35-49,13,High school degree,Sales and Office,2 to 5,No,64,$50 - $74,9.7,Neutral,Married,Own,American Express,Yes
151,Female,59,50-64,21,Post-undergraduate degree,Managerial and Professional,11 to 15,No,182,$125+,4.8,Somewhat dissatisfied,Unmarried,Own,Mastercard,No
152,Male,35,35-49,20,Post-undergraduate degree,Managerial and Professional,Less than 2,No,35,$25 - $49,12.3,Somewhat dissatisfied,Married,Own,American Express,Yes
153,Male,53,50-64,22,Post-undergraduate degree,"Operation, Fabrication, General Labor",More than 15,No,52,$50 - $74,14.4,Highly satisfied,Married,Own,American Express,No
154,Male,20,18-24,14,High school degree,Service,Less than 2,No,22,Under $25,17.2,Highly dissatisfied,Unmarried,Rent,Mastercard,Yes
155,Female,57,50-64,14,High school degree,Sales and Office,2 to 5,No,47,$25 - $49,7.3,Highly dissatisfied,Married,Own,Discover,No
156,Male,74,65+,11,Did not complete high school,"Precision Production, Craft, Repair",More than 15,No,108,$75 - $124,17.9,Highly satisfied,Unmarried,Own,Mastercard,No
157,Female,76,65+,18,College degree,"Operation, Fabrication, General Labor",More than 15,Yes,149,$125+,3.3,Somewhat satisfied,Unmarried,Own,American Express,No
158,Female,41,35-49,12,High school degree,Managerial and Professional,11 to 15,No,52,$50 - $74,10.6,Somewhat satisfied,Unmarried,Rent,Mastercard,No
159,Male,47,35-49,14,High school degree,Service,More than 15,No,78,$75 - $124,3.4,Highly dissatisfied,Married,Own,Visa,No
160,Female,36,35-49,11,Did not complete high school,Agricultural and Natural Resources,11 to 15,No,34,$25 - $49,7,Neutral,Married,Own,Visa,No
161,Male,77,65+,7,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,19,Under $25,4.9,Neutral,Unmarried,Own,Other,No
162,Male,78,65+,19,College degree,Service,More than 15,Yes,44,$25 - $49,3.3,Somewhat dissatisfied,Married,Rent,American Express,No
163,Male,42,35-49,12,High school degree,Sales and Office,2 to 5,No,36,$25 - $49,12.9,Somewhat dissatisfied,Unmarried,Rent,Visa,Yes
164,Female,63,50-64,12,High school degree,Sales and Office,6 to 10,No,44,$25 - $49,11.4,Somewhat satisfied,Married,Rent,American Express,No
165,Female,20,18-24,15,Some college,Sales and Office,Less than 2,No,20,Under $25,3.2,Highly dissatisfied,Unmarried,Own,Visa,Yes
166,Female,30,25-34,10,Did not complete high school,Managerial and Professional,6 to 10,No,37,$25 - $49,3.5,Somewhat dissatisfied,Unmarried,Rent,Other,Yes
167,Male,18,18-24,11,Did not complete high school,"Operation, Fabrication, General Labor",Less than 2,No,19,Under $25,15.1,Highly dissatisfied,Unmarried,Rent,American Express,Yes
168,Female,26,25-34,16,Some college,Agricultural and Natural Resources,Less than 2,No,19,Under $25,11.4,Somewhat dissatisfied,Married,Rent,Discover,Yes
169,Male,66,65+,15,Some college,Managerial and Professional,More than 15,Yes,42,$25 - $49,5.6,Highly satisfied,Unmarried,Own,Mastercard,No
170,Female,64,50-64,15,Some college,Sales and Office,2 to 5,No,54,$50 - $74,3,Somewhat dissatisfied,Unmarried,Own,American Express,Yes
171,Female,34,25-34,17,College degree,Sales and Office,2 to 5,No,37,$25 - $49,4.7,Highly dissatisfied,Married,Rent,Mastercard,No
172,Male,22,18-24,13,High school degree,Sales and Office,Less than 2,No,15,Under $25,1.1,Highly dissatisfied,Unmarried,Rent,Mastercard,No
173,Female,35,35-49,17,College degree,"Operation, Fabrication, General Labor",6 to 10,No,50,$50 - $74,3.6,Neutral,Unmarried,Rent,American Express,No
174,Female,53,50-64,11,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,No,132,$125+,3.5,Neutral,Married,Own,Visa,No
175,Male,46,35-49,17,College degree,Managerial and Professional,11 to 15,No,102,$75 - $124,8.8,Highly satisfied,Unmarried,Rent,Discover,No
176,Female,62,50-64,11,Did not complete high school,"Precision Production, Craft, Repair",More than 15,No,136,$125+,14.2,Highly satisfied,Married,Own,American Express,No
177,Female,21,18-24,16,Some college,"Operation, Fabrication, General Labor",Less than 2,No,14,Under $25,9.2,Somewhat satisfied,Unmarried,Own,Mastercard,Yes
178,Male,64,50-64,9,Did not complete high school,Managerial and Professional,More than 15,No,88,$75 - $124,12,Highly satisfied,Unmarried,Own,Visa,No
179,Female,76,65+,10,Did not complete high school,"Operation, Fabrication, General Labor",More than 15,Yes,13,Under $25,24.8,Somewhat satisfied,Unmarried,Own,Visa,No
180,Male,74,65+,12,High school degree,"Precision Production, Craft, Repair",More than 15,Yes,9,Under $25,5.6,Somewhat satisfied,Married,Own,American Express,No
181,Male,35,35-49,9,Did not complete high school,Managerial and Professional,2 to 5,No,17,Under $25,18.8,Somewhat dissatisfied,Unmarried,Rent,Other,No
182,Male,29,25-34,12,High school degree,Managerial and Professional,2 to 5,No,22,Under $25,5.1,Neutral,Married,Own,Discover,No
183,Male,32,25-34,16,Some college,Service,2 to 5,No,42,$25 - $49,6.7,Somewhat satisfied,Married,Own,Visa,No
184,Male,54,50-64,15,Some college,Managerial and Professional,2 to 5,No,38,$25 - $49,9,Somewhat dissatisfied,Married,Own,Mastercard,Yes
185,Female,62,50-64,17,College degree,Sales and Office,2 to 5,No,66,$50 - $74,7.9,Somewhat dissatisfied,Married,Rent,Discover,No
186,Female,18,18-24,13,High school degree,Managerial and Professional,Less than 2,No,19,Under $25,4.1,Somewhat dissatisfied,Married,Rent,Other,No
187,Female,79,65+,12,High school degree,Managerial and Professional,11 to 15,Yes,10,Under $25,6.8,Somewhat dissatisfied,Married,Rent,Mastercard,No
188,Male,70,65+,14,High school degree,Service,More than 15,Yes,21,Under $25,11.8,Neutral,Married,Rent,Discover,No
189,Male,42,35-49,17,College degree,Service,11 to 15,No,114,$75 - $124,7,Somewhat satisfied,Unmarried,Own,Discover,No
190,Female,24,18-24,18,College degree,Service,Less than 2,No,23,Under $25,14.3,Highly dissatisfied,Unmarried,Own,American Express,Yes
191,Male,26,25-34,16,Some college,Managerial and Professional,Less than 2,No,21,Under $25,3.3,Somewhat satisfied,Married,Own,Discover,No
192,Female,61,50-64,13,High school degree,"Operation, Fabrication, General Labor",More than 15,No,110,$75 - $124,29.7,Somewhat satisfied,Unmarried,Own,Discover,No
193,Male,35,35-49,14,High school degree,Managerial and Professional,2 to 5,No,22,Under $25,5.9,Highly dissatisfied,Unmarried,Rent,Discover,No
